hour,hr,br,sdnn,rmssd,day
15,73.78,22.615833333333335,,,04-18
16,63.9775,19.794166666666666,,,04-18
17,62.44222222222222,20.165277777777778,,,04-18
18,75.395,14.818055555555556,,,04-18
19,75.11444444444444,12.335277777777778,,,04-18
20,78.03972222222222,18.738055555555555,,,04-18
21,63.77361111111111,16.185,,,04-18
22,68.56527777777778,15.981388888888889,,,04-18
23,69.8275,20.5275,,,04-18
8,72.56985915492957,15.4056338028169,,,04-19
9,78.24694444444444,20.235833333333332,,,04-19
10,69.38444444444444,20.705277777777777,,,04-19
11,70.59055555555555,16.509444444444444,,,04-19
12,63.63805555555555,20.09,,,04-19
13,71.12805555555556,20.54277777777778,,,04-19
14,71.28583333333333,18.6425,,,04-19
15,71.13166666666666,21.765555555555554,,,04-19
16,78.81388888888888,21.30472222222222,,,04-19
17,77.7063888888889,20.988055555555555,,,04-19
18,61.016666666666666,19.221944444444443,,,04-19
19,66.87641025641025,11.14,,,04-19
